comment,date,dblp,deadline,description,link,name,note,place,tags,timezone,year
Co-located with ICCCN 2025.,August 4-7,,2025-03-01 23:59,International Workshop on Cloud Resilience for the Internet of Things,https://www.cloudresiot.com/,CloudResIOT,,"Tokyo, Japan",SEC | PRIV | SHOP,,2025
,June 23-25,,2025-01-31 23:59,Workshop on the Economics of Information Security,http://kmlabcw.iis.u-tokyo.ac.jp/weis/2025/,WEIS,,"Tokyo, Japan",SEC | PRIV | SHOP,,2025
Co-Located with IEEE European Symposium on Security and Privacy (EuroS&P).,July 10,,2026-03-10 23:59,International Workshop on Security and Risk in Identity Management,https://st.fbk.eu/events/SeRIM2026/,SeRIM,,"Lisbon, Portugal",SEC | PRIV | SHOP,,2026
,June 5-6,,2025-03-13 23:59,Crypto Valley Conference on Blockchain Technology 2025,https://cryptovalleyconference.com/call-for-papers,Crypto Valley Conference,,"Rotkreuz, Switzerland",SEC | PRIV | CRYPTO | CONF,,2025
Co-Located with ACM Conference on Data and Application Security and Privacy (CODASPY).,June 25,,2026-03-10 23:59,ACM Workshop on Secure and Trustworthy Cyber Physical Systems,https://sites.google.com/view/sat-cps2026/,ACM SaT-CPS,,"Frankfurt, Germany",SEC | PRIV | SHOP,,2026
Co-located with ACM AsiaCCS 2026,June 2,,2026-01-20 23:59,ACM ASIA Public-Key Cryptography Workshop,https://iseclab.ec.t.kanazawa-u.ac.jp/en/APKC2026.html,APKC,,"Bangalore, India",SEC | CRYPTO | SHOP,,2026
Co-located with ESORICS 2025,September 25-26,,2025-06-30 23:59,Workshop on Mobile and IoT Security Technologies,https://mist-workshop.github.io/,MIST,,"Toulouse, France",SEC | PRIV | CRYPTO | SHOP,,2025
,February 3,,2025-07-15 23:59 | 2025-11-04 23:59,Microarchitecture Security Conference,https://uasc.cc,uASC,,"Leuven, Belgium",SEC | PRIV | CONF | CRYPTO,,2026
Co-located with ESORICS 25.,September 25,,2025-06-13 23:59,Workshop on Hardware-Supported Software Security,https://hs3-workshop.github.io/,HS3,,"Toulouse, France",SEC | PRIV | SHOP,,2025
In conjunction with IEEE CNS,September 11,,2025-07-10 23:59,10th IEEE International Workshop on Cyber-Physical Systems Security,https://spritz.math.unipd.it/events/2025/CPS-Sec2025/,CPS-Sec,,"Avignon, France",SEC | SHOP,,2025
Co-located with CHES 25.,September 14,,2025-07-14 23:59,"Workshop on Open Tools, Interfaces and Metrics for Implementation Security Testing",https://optimist-ose.org/ches25,OPTIMIST,,"Kuala Lumpur, Malaysia",CRYPTO | SEC | SHOP,,2025
Co-located with ACM CCS 2025,October 17,,2025-06-20 23:59,Workshop on Human-Centered AI Privacy and Security,https://haips.com,HAIPS,,"Taipei, Taiwan",SEC | PRIV | SHOP,,2025
Co-located with ACM CCS 2025,October 13,,2025-07-01 23:59,Workshop on Re-design Industrial Control Systems with Security,https://ricssworkshop.github.io/,RICSS,,"Taipei, Taiwan",SEC | SHOP,,2025
Co-located with BCCA 2025,October 14-17,,2025-07-30 23:59,Workshop on Blockchain for Decentralized Trust and Digital Identity,https://bcca-conference.org/2025/Workshops/b4ti.php,B4TI,,"Dubrovnik, Croatia",SEC | PRIV | CRYPTO | SHOP,,2025
Co-located with ACM CCS 2025,October 13,,2025-07-07 23:59,Workshop on Software Understanding and Reverse Engineering,https://sure-workshop.org/,SURE,,"Taipei, Taiwan",SEC | SHOP,,2025
,December 2-4,,2026-06-01 23:59,EAI International Conference on Wireless Internet,https://wicon.eai-conferences.org/2026/,WICON,,"Bratislava, Slovakia",SEC | CONF,,2026
,December 4-5,,2025-10-20 23:59,EAI International Conference on Ad Hoc Networks,https://adhocnets.eai-conferences.org/2025/,ADHOCNETS,,"Istanbul, Turkey",SEC | CONF,,2025
Co-located with ACM EuroSys 2026,April 27,,2026-02-03 23:59,European Workshop on Systems Security,https://eurosec-workshop.github.io/,EuroSec,,"Edinburgh, UK",SEC | SHOP,,2026
Co-located with ACNS 2026,June 23-26,,2026-04-10 23:59,NextG Networks Cryptography and Security (NextG-Sec),https://nextg-sec.github.io/,NextG-Sec,,"Stony Brook, New York, USA",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with EuroCrypt 2026,May 10,,2026-02-01 23:59,Workshop on Migration and Agility in Cryptographic Systems,https://magics.cs.hs-rm.de,MAgiCS,,"Rome, Italy",SEC | CRYPTO | SHOP,UTC,2026
Co-located with EDCC 2026 (21st European Dependable Computing Conference),April 7,,2026-01-19 23:59,International Workshop on AI Safety and Security,https://cyber.kent.ac.uk/events/AI-SS2026/index.html,AI-SS,,"Canterbury, UK",SEC | SHOP,UTC,2026
,April 20-21,,2026-02-22 23:59,International Workshop on Trends in Digital Identity,https://st.fbk.eu/events/TDI2026/,TDI,,"Verona, Italy",SEC | PRIV | SHOP,,2026
Co-located with IEEE S&P 2026,"May 21, 2026",,2026-02-20 23:59,The 1st Workshop on Datasets for Software Security,https://data4softsec26.ieee-security.org,Data4SoftSec,,"San Francisco, California, USA",SEC | PRIV | SHOP,UTC,2026
Co-located with IEEE ICC 2026,May 24-28,,2026-01-31 23:59,Workshop on Cybersecurity of Digital Twins and Interconnected Cyber Physical Systems,https://seccps.github.io/,SecCPS,,"Glasgow, UK",SEC | PRIV | SHOP,,2026
Co-located with IEEE S&P 2026,"May 21, 2026",,2026-02-19 23:59,Workshop on Metascience and Critical Reflections in Security & Privacy,https://metacrisp.org,MetaCRiSP,,"San Francisco, California, USA",SEC | PRIV | SHOP,,2026
Co-Located with IEEE European Symposium on Security and Privacy,July 10,,2026-3-12 23:59,Workshop on Automotive Cyber-Security,https://acsw.unimore.it/,ACSW,,"Lisbon, Portugal",SEC | PRIV | SHOP,,2025
Co-located with IEEE Euro S&P,July 04,,2025-03-23 23:59,Workshop on Operating Systems and Virtualization Security,https://osvs.pages.dev,OSVS,,"Venice, Italy",SEC | SHOP,,2025
Co-located with NDSS Symposium,February 28,,2025-01-10 23:59,Workshop on Innovation in Metadata Privacy---Analysis and Construction Techniques,https://www.ndss-symposium.org/ndss2025/co-located-events/impact/,IMPACT,,"San Diego, California, USA",PRIV | SEC | CRYPTO | SHOP,,2025
Co-located with ARES,August 24-27,,2026-05-18 23:59,International Workshop on Emerging Digital Identities,https://www.ares-conference.eu/edid,EDId,,"Linköping, SE",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-04-15 23:59,International Workshop on Digital Forensics,https://www.ares-conference.eu/wsdf,WSDF,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,"Workshop on Security, Availability, and Fault-Tolerance in Edge AI Systems",https://www.ares-conference.eu/safe-edge,SAFE-EDGE,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,International Workshop on Security of Mobile Applications,https://www.ares-conference.eu/iwsma,IWSMA,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,Workshop on Quantum Computing for Securing Large Language Models,https://www.ares-conference.eu/qcllm,QCLLM,,"Linköping, SE",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,Workshop on Advances in Secure Software Deployments,https://www.ares-conference.eu/asod,ASOD,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-04-15 23:59,"International Workshop on Artificial Intelligence, Cyber and Cyber-Physical Security",https://www.ares-conference.eu/aiccps,AI&CCPS,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-01 23:59,International Workshop on Cybersecurity and Privacy Risk Assessments,https://www.ares-conference.eu/cpra,CPRA,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,Workshop on Recent Advances in Cyber Situational Awareness and Data-Centric Approaches,https://www.ares-conference.eu/csa,CSA,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-08 23:59,International Workshop on Cyber Use of Information Hiding,https://www.ares-conference.eu/cuing,CUING,,"Linköping, SE",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-04 23:59,International Workshop on Applied Trust and Cyber Resilience,https://www.ares-conference.eu/cyrestrust,CyResTrust,,"Linköping, SE",SEC | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-11 23:59,International Workshop on Graph-based Approaches for CyberSecurity,https://www.ares-conference.eu/grasec,GRASEC,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-11 23:59,International Workshop on Cyber Crime,https://www.ares-conference.eu/iwcc,IWCC,,"Linköping, SE",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,International Workshop on Post-Quantum Cybersecurity Readiness and Migration,https://www.ares-conference.eu/pq-readysec,PQ-ReadySec,,"Linköping, SE",SEC | CRYPTO | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,"International Workshop on Responsible Data Governance, Privacy, and Digital Transformation",https://www.ares-conference.eu/rdgpt,RDGPT,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-04 23:59,Workshop on Sustainable Security And Awareness For Next Generation Infrastructures,https://www.ares-conference.eu/safer,SAFER,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,International Workshop on Supply Chain Cyber Security,https://www.ares-conference.eu/sccs,SCCS,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-15 23:59,Workshop on Cybersecurity in Healthcare Operations,https://www.ares-conference.eu/sechealth,SecHealth,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-05 23:59,Workshop on Cybersecurity in Industry 4.0 and Beyond,https://www.ares-conference.eu/secindustry,Secdustry,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-01 23:59,"International Workshop on Trust, Privacy and Security in the Digital Society",https://www.ares-conference.eu/trustbus,TrustBus,,"Linköping, SE",SEC | PRIV | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,Workshop on Security in Aviation,https://www.ares-conference.eu/sia,SIA,,"Linköping, SE",SEC | SHOP,,2026
Co-located with ARES,August 24-27,,2026-05-18 23:59,International Workshop on Security and/or Privacy Enhancing Technologies for Multimodal Data,https://www.ares-conference.eu/spetvid,SPETViD,,"Linköping, SE",SEC | PRIV | CRYPTO | SHOP,,2026
Co-located with ICST,May 18 - 22,,2026-02-27 23:59,"International Workshop on Secure, Accountable, and Verifiable Machine Learning",https://conf.researchr.org/home/icst-2026/safe-ml-2026,SAFE-ML,,"Daejeon, South Korea",SEC | PRIV | SHOP,,2026
,September 01-03,,2025-04-18 23:59,International Workshop on Lightweight Cryptography for Security and Privacy,https://www.encrypt-on.com/activities/conferences/lightsec-2025/,LightSEC,,"Istanbul, Turkiye",SEC | PRIV | SHOP | CRYPTO,,2025
,May 23,,2025-01-31 23:59,IFIP International Workshop on Network and Distributed Systems Security,https://ifiptc11.org/wg114-events/wg114-workshop,IFIP WNDSS,,"Maribor, Slovenia",SEC | SHOP,,2025
Co-located with Sensys at Cyber-Physical Systems and Internet-of-Things Week,May 6,,2025-02-08 23:59,International Workshop on Security and Privacy of Sensing Systems,https://emtechlab.github.io/sensors-security-privacy-workshop/,Sensors S&P,,"Irvine, USA",SEC | PRIV | SHOP,,2025
Co-located with CCS 2025,October 13,,2025-07-04 23:59,Workshop on Programming Languages and Analysis for Security,https://plas25.github.io/,PLAS,,"Taipei, Taiwan",SEC | PRIV | SHOP,,2025
"Abstract submission. Once accepted, full papers due July 30.",August 10-14,,2026-04-30 23:59,IFIP Summer School on Privacy and Identity Management,https://ifip-summerschool.org/,IFIPSC,,"Leuven, Belgium",PRIV | SHOP,,2026
